model,pred,test_days,acc,test_n,test_pos_n,train_n,test_start,test_end,train_years,feature_set,horizon
random_forest,0.9,1,0.0,1,0,1470,2025-02-24,2025-02-24,6,ma_no_days,20
xgboost,0.95,1,0.0,1,0,1470,2025-02-21,2025-02-21,6,ma_no_days,20
random_forest,0.85,1,0.0,1,0,1470,2025-02-21,2025-02-21,6,ma_no_days,20
xgboost,0.9,1,0.0,1,0,1470,2025-02-20,2025-02-20,6,ma_no_days,20
random_forest,0.8,1,0.0,1,0,1470,2025-02-20,2025-02-20,6,ma_no_days,20
xgboost,0.65,1,0.0,1,0,1470,2025-02-19,2025-02-19,6,ma_no_days,20
random_forest,0.6,1,0.0,1,0,1470,2025-02-19,2025-02-19,6,ma_no_days,20
xgboost,0.6,1,0.0,1,0,1470,2025-02-18,2025-02-18,6,ma_no_days,20
random_forest,0.6,1,0.0,1,0,1470,2025-02-18,2025-02-18,6,ma_no_days,20
xgboost,0.9,1,0.0,1,0,1470,2025-02-14,2025-02-14,6,ma_no_days,20
random_forest,0.6,1,0.0,1,0,1470,2025-02-14,2025-02-14,6,ma_no_days,20
xgboost,0.95,1,0.0,1,0,1470,2025-02-13,2025-02-13,6,ma_no_days,20
random_forest,0.75,1,0.0,1,0,1470,2025-02-13,2025-02-13,6,ma_no_days,20
xgboost,1.0,1,0.0,1,0,1470,2025-02-12,2025-02-12,6,ma_no_days,20
random_forest,0.85,1,0.0,1,0,1470,2025-02-12,2025-02-12,6,ma_no_days,20
xgboost,1.0,1,0.0,1,0,1470,2025-02-11,2025-02-11,6,ma_no_days,20
random_forest,0.9,1,0.0,1,0,1470,2025-02-11,2025-02-11,6,ma_no_days,20
xgboost,0.9,1,0.0,1,0,1470,2025-02-10,2025-02-10,6,ma_no_days,20
random_forest,0.85,1,0.0,1,0,1470,2025-02-10,2025-02-10,6,ma_no_days,20
xgboost,1.0,1,0.0,1,0,1470,2025-02-07,2025-02-07,6,ma_no_days,20
random_forest,0.85,1,0.0,1,0,1470,2025-02-07,2025-02-07,6,ma_no_days,20
xgboost,0.95,1,0.0,1,0,1470,2025-02-06,2025-02-06,6,ma_no_days,20
random_forest,0.75,1,0.0,1,0,1470,2025-02-06,2025-02-06,6,ma_no_days,20
xgboost,0.95,1,0.0,1,0,1470,2025-02-05,2025-02-05,6,ma_no_days,20
random_forest,0.8,1,0.0,1,0,1470,2025-02-05,2025-02-05,6,ma_no_days,20
xgboost,1.0,1,0.0,1,0,1470,2025-02-04,2025-02-04,6,ma_no_days,20
random_forest,0.75,1,0.0,1,0,1470,2025-02-04,2025-02-04,6,ma_no_days,20
xgboost,0.8,1,0.0,1,0,1470,2025-02-03,2025-02-03,6,ma_no_days,20
random_forest,0.75,1,0.0,1,0,1470,2025-02-03,2025-02-03,6,ma_no_days,20
xgboost,0.25,1,1.0,1,0,1470,2025-01-31,2025-01-31,6,ma_no_days,20
random_forest,0.7,1,0.0,1,0,1470,2025-01-31,2025-01-31,6,ma_no_days,20
xgboost,0.95,1,0.0,1,0,1470,2025-01-30,2025-01-30,6,ma_no_days,20
random_forest,0.8,1,0.0,1,0,1470,2025-01-30,2025-01-30,6,ma_no_days,20
xgboost,0.55,1,0.0,1,0,1470,2025-01-29,2025-01-29,6,ma_no_days,20
random_forest,0.75,1,0.0,1,0,1470,2025-01-29,2025-01-29,6,ma_no_days,20
xgboost,0.7,1,0.0,1,0,1470,2025-01-28,2025-01-28,6,ma_no_days,20
random_forest,0.75,1,0.0,1,0,1470,2025-01-28,2025-01-28,6,ma_no_days,20
xgboost,1.0,1,0.0,1,0,1470,2025-01-27,2025-01-27,6,ma_no_days,20
random_forest,0.85,1,0.0,1,0,1470,2025-01-27,2025-01-27,6,ma_no_days,20
xgboost,0.5,1,1.0,1,0,980,2025-12-05,2025-12-05,4,ma_no_days,30
random_forest,0.5,1,0.0,1,0,980,2025-12-05,2025-12-05,4,ma_no_days,30
xgboost,0.15,1,1.0,1,0,980,2025-12-04,2025-12-04,4,ma_no_days,30
random_forest,0.55,1,0.0,1,0,980,2025-12-04,2025-12-04,4,ma_no_days,30
xgboost,0.05,1,1.0,1,0,980,2025-12-03,2025-12-03,4,ma_no_days,30
random_forest,0.4,1,1.0,1,0,980,2025-12-03,2025-12-03,4,ma_no_days,30
xgboost,0.1,1,0.0,1,1,980,2025-12-02,2025-12-02,4,ma_no_days,30
random_forest,0.4,1,0.0,1,1,980,2025-12-02,2025-12-02,4,ma_no_days,30
xgboost,0.45,1,0.0,1,1,980,2025-12-01,2025-12-01,4,ma_no_days,30
random_forest,0.5,1,1.0,1,1,980,2025-12-01,2025-12-01,4,ma_no_days,30
xgboost,0.05,1,0.0,1,1,980,2025-11-28,2025-11-28,4,ma_no_days,30
random_forest,0.45,1,0.0,1,1,980,2025-11-28,2025-11-28,4,ma_no_days,30
xgboost,0.1,1,0.0,1,1,980,2025-11-26,2025-11-26,4,ma_no_days,30
random_forest,0.55,1,1.0,1,1,980,2025-11-26,2025-11-26,4,ma_no_days,30
xgboost,0.7,1,1.0,1,1,980,2025-11-25,2025-11-25,4,ma_no_days,30
random_forest,0.55,1,1.0,1,1,980,2025-11-25,2025-11-25,4,ma_no_days,30
xgboost,0.5,1,0.0,1,1,980,2025-11-24,2025-11-24,4,ma_no_days,30
random_forest,0.6,1,1.0,1,1,980,2025-11-24,2025-11-24,4,ma_no_days,30
xgboost,0.9,1,1.0,1,1,980,2025-11-21,2025-11-21,4,ma_no_days,30
random_forest,0.6,1,1.0,1,1,980,2025-11-21,2025-11-21,4,ma_no_days,30
xgboost,0.55,1,1.0,1,1,980,2025-11-20,2025-11-20,4,ma_no_days,30
random_forest,0.6,1,1.0,1,1,980,2025-11-20,2025-11-20,4,ma_no_days,30
xgboost,0.85,1,1.0,1,1,980,2025-11-19,2025-11-19,4,ma_no_days,30
random_forest,0.55,1,1.0,1,1,980,2025-11-19,2025-11-19,4,ma_no_days,30
xgboost,0.75,1,1.0,1,1,980,2025-11-18,2025-11-18,4,ma_no_days,30
random_forest,0.5,1,1.0,1,1,980,2025-11-18,2025-11-18,4,ma_no_days,30
xgboost,0.1,1,0.0,1,1,980,2025-11-17,2025-11-17,4,ma_no_days,30
random_forest,0.4,1,0.0,1,1,980,2025-11-17,2025-11-17,4,ma_no_days,30
xgboost,0.95,1,1.0,1,1,980,2025-11-14,2025-11-14,4,ma_no_days,30
random_forest,0.5,1,1.0,1,1,980,2025-11-14,2025-11-14,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-11-13,2025-11-13,4,ma_no_days,30
random_forest,0.55,1,1.0,1,1,980,2025-11-13,2025-11-13,4,ma_no_days,30
xgboost,0.95,1,1.0,1,1,980,2025-11-12,2025-11-12,4,ma_no_days,30
random_forest,0.45,1,0.0,1,1,980,2025-11-12,2025-11-12,4,ma_no_days,30
xgboost,0.9,1,1.0,1,1,980,2025-11-11,2025-11-11,4,ma_no_days,30
random_forest,0.4,1,0.0,1,1,980,2025-11-11,2025-11-11,4,ma_no_days,30
xgboost,0.8,1,0.0,1,0,980,2025-11-10,2025-11-10,4,ma_no_days,30
random_forest,0.45,1,1.0,1,0,980,2025-11-10,2025-11-10,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-11-07,2025-11-07,4,ma_no_days,30
random_forest,0.5,1,1.0,1,1,980,2025-11-07,2025-11-07,4,ma_no_days,30
xgboost,0.85,1,1.0,1,1,980,2025-11-06,2025-11-06,4,ma_no_days,30
random_forest,0.4,1,0.0,1,1,980,2025-11-06,2025-11-06,4,ma_no_days,30
xgboost,0.75,1,0.0,1,0,980,2025-11-05,2025-11-05,4,ma_no_days,30
random_forest,0.4,1,1.0,1,0,980,2025-11-05,2025-11-05,4,ma_no_days,30
xgboost,0.8,1,0.0,1,0,980,2025-11-04,2025-11-04,4,ma_no_days,30
random_forest,0.4,1,1.0,1,0,980,2025-11-04,2025-11-04,4,ma_no_days,30
xgboost,0.4,1,1.0,1,0,980,2025-11-03,2025-11-03,4,ma_no_days,30
random_forest,0.4,1,1.0,1,0,980,2025-11-03,2025-11-03,4,ma_no_days,30
xgboost,0.65,1,0.0,1,0,980,2025-10-31,2025-10-31,4,ma_no_days,30
random_forest,0.35,1,1.0,1,0,980,2025-10-31,2025-10-31,4,ma_no_days,30
xgboost,0.6,1,0.0,1,0,980,2025-10-30,2025-10-30,4,ma_no_days,30
random_forest,0.4,1,1.0,1,0,980,2025-10-30,2025-10-30,4,ma_no_days,30
xgboost,0.45,1,1.0,1,0,980,2025-10-29,2025-10-29,4,ma_no_days,30
random_forest,0.4,1,1.0,1,0,980,2025-10-29,2025-10-29,4,ma_no_days,30
xgboost,0.3,1,1.0,1,0,980,2025-10-28,2025-10-28,4,ma_no_days,30
random_forest,0.45,1,1.0,1,0,980,2025-10-28,2025-10-28,4,ma_no_days,30
xgboost,0.5,1,0.0,1,0,980,2025-10-27,2025-10-27,4,ma_no_days,30
random_forest,0.4,1,1.0,1,0,980,2025-10-27,2025-10-27,4,ma_no_days,30
xgboost,0.85,1,1.0,1,1,980,2025-10-24,2025-10-24,4,ma_no_days,30
random_forest,0.35,1,0.0,1,1,980,2025-10-24,2025-10-24,4,ma_no_days,30
xgboost,0.8,1,1.0,1,1,980,2025-10-23,2025-10-23,4,ma_no_days,30
random_forest,0.5,1,0.0,1,1,980,2025-10-23,2025-10-23,4,ma_no_days,30
xgboost,0.85,1,1.0,1,1,980,2025-10-22,2025-10-22,4,ma_no_days,30
random_forest,0.45,1,0.0,1,1,980,2025-10-22,2025-10-22,4,ma_no_days,30
xgboost,0.65,1,1.0,1,1,980,2025-10-21,2025-10-21,4,ma_no_days,30
random_forest,0.4,1,0.0,1,1,980,2025-10-21,2025-10-21,4,ma_no_days,30
xgboost,0.7,1,1.0,1,1,980,2025-10-20,2025-10-20,4,ma_no_days,30
random_forest,0.4,1,0.0,1,1,980,2025-10-20,2025-10-20,4,ma_no_days,30
xgboost,0.75,1,1.0,1,1,980,2025-10-17,2025-10-17,4,ma_no_days,30
random_forest,0.35,1,0.0,1,1,980,2025-10-17,2025-10-17,4,ma_no_days,30
xgboost,0.95,1,1.0,1,1,980,2025-10-16,2025-10-16,4,ma_no_days,30
random_forest,0.5,1,1.0,1,1,980,2025-10-16,2025-10-16,4,ma_no_days,30
xgboost,0.95,1,1.0,1,1,980,2025-10-15,2025-10-15,4,ma_no_days,30
random_forest,0.35,1,0.0,1,1,980,2025-10-15,2025-10-15,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-10-14,2025-10-14,4,ma_no_days,30
random_forest,0.55,1,1.0,1,1,980,2025-10-14,2025-10-14,4,ma_no_days,30
xgboost,0.95,1,1.0,1,1,980,2025-10-13,2025-10-13,4,ma_no_days,30
random_forest,0.45,1,0.0,1,1,980,2025-10-13,2025-10-13,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-10-10,2025-10-10,4,ma_no_days,30
random_forest,0.5,1,1.0,1,1,980,2025-10-10,2025-10-10,4,ma_no_days,30
xgboost,0.7,1,0.0,1,0,980,2025-10-09,2025-10-09,4,ma_no_days,30
random_forest,0.5,1,1.0,1,0,980,2025-10-09,2025-10-09,4,ma_no_days,30
xgboost,0.95,1,0.0,1,0,980,2025-10-08,2025-10-08,4,ma_no_days,30
random_forest,0.45,1,1.0,1,0,980,2025-10-08,2025-10-08,4,ma_no_days,30
xgboost,1.0,1,0.0,1,0,980,2025-10-07,2025-10-07,4,ma_no_days,30
random_forest,0.6,1,0.0,1,0,980,2025-10-07,2025-10-07,4,ma_no_days,30
xgboost,1.0,1,0.0,1,0,980,2025-10-06,2025-10-06,4,ma_no_days,30
random_forest,0.65,1,0.0,1,0,980,2025-10-06,2025-10-06,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-10-03,2025-10-03,4,ma_no_days,30
random_forest,0.65,1,1.0,1,1,980,2025-10-03,2025-10-03,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-10-02,2025-10-02,4,ma_no_days,30
random_forest,0.5,1,1.0,1,1,980,2025-10-02,2025-10-02,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-10-01,2025-10-01,4,ma_no_days,30
random_forest,0.6,1,1.0,1,1,980,2025-10-01,2025-10-01,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-30,2025-09-30,4,ma_no_days,30
random_forest,0.65,1,1.0,1,1,980,2025-09-30,2025-09-30,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-29,2025-09-29,4,ma_no_days,30
random_forest,0.65,1,1.0,1,1,980,2025-09-29,2025-09-29,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-26,2025-09-26,4,ma_no_days,30
random_forest,0.65,1,1.0,1,1,980,2025-09-26,2025-09-26,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-25,2025-09-25,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-09-25,2025-09-25,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-24,2025-09-24,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-09-24,2025-09-24,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-23,2025-09-23,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-09-23,2025-09-23,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-22,2025-09-22,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-09-22,2025-09-22,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-19,2025-09-19,4,ma_no_days,30
random_forest,0.65,1,1.0,1,1,980,2025-09-19,2025-09-19,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-18,2025-09-18,4,ma_no_days,30
random_forest,0.6,1,1.0,1,1,980,2025-09-18,2025-09-18,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-17,2025-09-17,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-09-17,2025-09-17,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-16,2025-09-16,4,ma_no_days,30
random_forest,0.65,1,1.0,1,1,980,2025-09-16,2025-09-16,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-15,2025-09-15,4,ma_no_days,30
random_forest,0.6,1,1.0,1,1,980,2025-09-15,2025-09-15,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-12,2025-09-12,4,ma_no_days,30
random_forest,0.65,1,1.0,1,1,980,2025-09-12,2025-09-12,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-11,2025-09-11,4,ma_no_days,30
random_forest,0.65,1,1.0,1,1,980,2025-09-11,2025-09-11,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-10,2025-09-10,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-09-10,2025-09-10,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-09,2025-09-09,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-09-09,2025-09-09,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-08,2025-09-08,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-09-08,2025-09-08,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-05,2025-09-05,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-09-05,2025-09-05,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-04,2025-09-04,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-09-04,2025-09-04,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-03,2025-09-03,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-09-03,2025-09-03,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-09-02,2025-09-02,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-09-02,2025-09-02,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-29,2025-08-29,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-29,2025-08-29,4,ma_no_days,30
xgboost,0.95,1,1.0,1,1,980,2025-08-28,2025-08-28,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-08-28,2025-08-28,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-27,2025-08-27,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-27,2025-08-27,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-26,2025-08-26,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-26,2025-08-26,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-25,2025-08-25,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-25,2025-08-25,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-22,2025-08-22,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-08-22,2025-08-22,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-21,2025-08-21,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-21,2025-08-21,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-20,2025-08-20,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-20,2025-08-20,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-19,2025-08-19,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-08-19,2025-08-19,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-18,2025-08-18,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-08-18,2025-08-18,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-15,2025-08-15,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-15,2025-08-15,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-14,2025-08-14,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-14,2025-08-14,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-13,2025-08-13,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-13,2025-08-13,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-12,2025-08-12,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-12,2025-08-12,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-11,2025-08-11,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-11,2025-08-11,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-08,2025-08-08,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-08-08,2025-08-08,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-07,2025-08-07,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-08-07,2025-08-07,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-06,2025-08-06,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-08-06,2025-08-06,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-05,2025-08-05,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-08-05,2025-08-05,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-04,2025-08-04,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-08-04,2025-08-04,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-08-01,2025-08-01,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-08-01,2025-08-01,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-31,2025-07-31,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-07-31,2025-07-31,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-30,2025-07-30,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-07-30,2025-07-30,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-29,2025-07-29,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-07-29,2025-07-29,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-28,2025-07-28,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-07-28,2025-07-28,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-25,2025-07-25,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-07-25,2025-07-25,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-24,2025-07-24,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-07-24,2025-07-24,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-23,2025-07-23,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-07-23,2025-07-23,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-22,2025-07-22,4,ma_no_days,30
random_forest,0.9,1,1.0,1,1,980,2025-07-22,2025-07-22,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-21,2025-07-21,4,ma_no_days,30
random_forest,0.9,1,1.0,1,1,980,2025-07-21,2025-07-21,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-18,2025-07-18,4,ma_no_days,30
random_forest,0.9,1,1.0,1,1,980,2025-07-18,2025-07-18,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-17,2025-07-17,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-07-17,2025-07-17,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-16,2025-07-16,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-07-16,2025-07-16,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-15,2025-07-15,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-07-15,2025-07-15,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-14,2025-07-14,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-07-14,2025-07-14,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-11,2025-07-11,4,ma_no_days,30
random_forest,0.9,1,1.0,1,1,980,2025-07-11,2025-07-11,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-10,2025-07-10,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-07-10,2025-07-10,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-09,2025-07-09,4,ma_no_days,30
random_forest,0.9,1,1.0,1,1,980,2025-07-09,2025-07-09,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-08,2025-07-08,4,ma_no_days,30
random_forest,0.9,1,1.0,1,1,980,2025-07-08,2025-07-08,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-07,2025-07-07,4,ma_no_days,30
random_forest,0.9,1,1.0,1,1,980,2025-07-07,2025-07-07,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-03,2025-07-03,4,ma_no_days,30
random_forest,0.9,1,1.0,1,1,980,2025-07-03,2025-07-03,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-02,2025-07-02,4,ma_no_days,30
random_forest,0.9,1,1.0,1,1,980,2025-07-02,2025-07-02,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-07-01,2025-07-01,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-07-01,2025-07-01,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-30,2025-06-30,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-06-30,2025-06-30,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-27,2025-06-27,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-06-27,2025-06-27,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-26,2025-06-26,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-06-26,2025-06-26,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-25,2025-06-25,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-25,2025-06-25,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-24,2025-06-24,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-24,2025-06-24,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-23,2025-06-23,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-06-23,2025-06-23,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-20,2025-06-20,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-20,2025-06-20,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-18,2025-06-18,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-18,2025-06-18,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-17,2025-06-17,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-06-17,2025-06-17,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-16,2025-06-16,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-16,2025-06-16,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-13,2025-06-13,4,ma_no_days,30
random_forest,0.85,1,1.0,1,1,980,2025-06-13,2025-06-13,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-12,2025-06-12,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-12,2025-06-12,4,ma_no_days,30
xgboost,0.95,1,1.0,1,1,980,2025-06-11,2025-06-11,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-11,2025-06-11,4,ma_no_days,30
xgboost,0.9,1,1.0,1,1,980,2025-06-10,2025-06-10,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-06-10,2025-06-10,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-09,2025-06-09,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-09,2025-06-09,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-06,2025-06-06,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-06,2025-06-06,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-05,2025-06-05,4,ma_no_days,30
random_forest,0.8,1,1.0,1,1,980,2025-06-05,2025-06-05,4,ma_no_days,30
xgboost,0.65,1,1.0,1,1,980,2025-06-04,2025-06-04,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-06-04,2025-06-04,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-06-03,2025-06-03,4,ma_no_days,30
random_forest,0.7,1,1.0,1,1,980,2025-06-03,2025-06-03,4,ma_no_days,30
xgboost,0.95,1,1.0,1,1,980,2025-06-02,2025-06-02,4,ma_no_days,30
random_forest,0.75,1,1.0,1,1,980,2025-06-02,2025-06-02,4,ma_no_days,30
xgboost,1.0,1,1.0,1,1,980,2025-05-30,2025-05-30,4,ma_no_days,30
